dataset	line	edge_index	edge_id	from_stage	to_stage	left_hash	right_hash	pair_hash	residual_hash	left_nodes	right_nodes	left	right
loki_tiny.csv	3919	0	edge0_source_ordinary_loki_tiny_csv_3919	source	ordinary	d7c76e62b6d6e1e8	90fc4760dbd8d094	c807e2f5c39f7ceb	0714afe7b0b61a24	46	21	(((-0x1) * v0 & ~ (v0 & v0 + v0)) + ~ v1 ^ (-0x1) * ~ (((-0x1) * v0 & ~ (v0 & v0 + v0)) + ~ v1) & ~ (v0 + v1) | ~ (v0 + v1)) ^ (v0 + v1 | ~ (v0 + v1))	v0 + v1 + (-0x1) * (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v0 & 0x2 * v0 & (-0x1) * v0))
loki_tiny.csv	3919	1	edge1_ordinary_p7e_loki_tiny_csv_3919	ordinary	p7e	90fc4760dbd8d094	90fc4760dbd8d094	8a8e14ced8ee9a4f	11066ba9ec45cb30	21	21	v0 + v1 + (-0x1) * (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v0 & 0x2 * v0 & (-0x1) * v0))	v0 + v1 + (-0x1) * (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v0 & 0x2 * v0 & (-0x1) * v0))
loki_tiny.csv	3919	2	edge2_p9l_loki_tiny_csv_3919	p7e	retained	90fc4760dbd8d094	536a9b6c358c7562	d601a42b3a1a8997	b3bb38f638c44fb6	21	3	v0 + v1 + (-0x1) * (v0 + v1 & (-0x1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v0 & 0x2 * v0 & (-0x1) * v0))	v0 + v1
loki_tiny.csv	3928	0	edge0_source_ordinary_loki_tiny_csv_3928	source	ordinary	fc24849cb5ec9666	89d5747db5e42801	0aa3d5230d86b508	5c3dd519652e93b9	167	35	~ (v0 + ~ (v0 + (v0 + v1) | ~ ((-0x1) * (v0 + (v0 + v1)) + ~ ((-0x1) * (v0 + (v0 + v1)) | (~ (v0 ^ v0 + v1) ^ ~ (v0 + v1)) + (v0 + v1))))) + (-0x1) * ~ (v0 + ~ (v0 + (v0 + v1) | ~ ((-0x1) * (v0 + (v0 + v1)) + ~ ((-0x1) * (v0 + (v0 + v1)) | (~ (v0 ^ v0 + v1) ^ ~ (v0 + v1)) + (v0 + v1)))) | (v0 + ~ (v0 + (v0 + v1) | ~ ((-0x1) * (v0 + (v0 + v1)) + ~ ((-0x1) * (v0 + (v0 + v1)) | (~ (v0 ^ v0 + v1) ^ ~ (v0 + v1)) + (v0 + v1))))) + ~ (v0 + ~ (v0 + (v0 + v1) | ~ ((-0x1) * (v0 + (v0 + v1)) + ~ ((-0x1) * (v0 + (v0 + v1)) | (~ (v0 ^ v0 + v1) ^ ~ (v0 + v1)) + (v0 + v1))))))	v0 + v1 + (-0x1) * (v1 + 0x2 * v0 & (-0x2) * v0 + (-0x1) * v1) + (v1 + 0x2 * v0 & (-0x1) + (-0x2) * v0 + (-0x1) * v1 + (v1 + 0x2 * v0 & (-0x2) * v0 + (-0x1) * v1))
loki_tiny.csv	3928	1	edge1_ordinary_p7e_loki_tiny_csv_3928	ordinary	p7e	89d5747db5e42801	3d54a8dc81ba06e8	670246bc21076fa2	c6c58cfc2ba97335	35	5	v0 + v1 + (-0x1) * (v1 + 0x2 * v0 & (-0x2) * v0 + (-0x1) * v1) + (v1 + 0x2 * v0 & (-0x1) + (-0x2) * v0 + (-0x1) * v1 + (v1 + 0x2 * v0 & (-0x2) * v0 + (-0x1) * v1))	(v0) + (v1)
loki_tiny.csv	3928	2	edge2_p7e_loki_tiny_csv_3928	p7e	retained	3d54a8dc81ba06e8	3d54a8dc81ba06e8	20f211d397d25cbd	e410c4e78824d2e6	5	5	(v0) + (v1)	(v0) + (v1)
loki_tiny.csv	3979	0	edge0_source_ordinary_loki_tiny_csv_3979	source	ordinary	e28f4276654333b3	a38bad52c39406cc	0eed53512c4424b6	4cce1ffb57c328bf	84	37	((-0x1) * (((~ ((-0x1) * v0) ^ (~ (~ ((-0x1) * v0) & ~ (~ ((-0x1) * v0) | v1)) | (~ ((-0x1) * v0) | v1))) + (-0x1) * v1) + (-0x1) * v1) | (-0x1) * ((~ (~ ((-0x1) * v0) & (~ ((-0x1) * v0) | v1)) + (-0x1) * v1) + (-0x1) * v1) + ((~ (~ ((-0x1) * v0) & (~ ((-0x1) * v0) | v1)) + (-0x1) * v1) + (-0x1) * v1 | (-0x1) * ((~ (~ ((-0x1) * v0) & (~ ((-0x1) * v0) | v1)) + (-0x1) * v1) + (-0x1) * v1))) + (-0x1) * v1	0x2 * v0 + 0x3 * v1 + (-0x1) * (v0 + 0x2 * v1 & v0 + 0x2 * v1 + (-0x1) * (v0 + 0x2 * v1 & (-0x2) * v1 + (-0x1) * v0)) + (-0x1) * (v0 + 0x2 * v1 & (-0x2) * v1 + (-0x1) * v0)
loki_tiny.csv	3979	1	edge1_ordinary_p7e_loki_tiny_csv_3979	ordinary	p7e	a38bad52c39406cc	3d54a8dc81ba06e8	adea44d8bf705fd7	8456731e0dd07be0	37	5	0x2 * v0 + 0x3 * v1 + (-0x1) * (v0 + 0x2 * v1 & v0 + 0x2 * v1 + (-0x1) * (v0 + 0x2 * v1 & (-0x2) * v1 + (-0x1) * v0)) + (-0x1) * (v0 + 0x2 * v1 & (-0x2) * v1 + (-0x1) * v0)	(v0) + (v1)
loki_tiny.csv	3979	2	edge2_p7e_loki_tiny_csv_3979	p7e	retained	3d54a8dc81ba06e8	3d54a8dc81ba06e8	20f211d397d25cbd	e410c4e78824d2e6	5	5	(v0) + (v1)	(v0) + (v1)
loki_tiny.csv	4081	0	edge0_source_ordinary_loki_tiny_csv_4081	source	ordinary	fa72b3d68c43fd13	6611679f2ca405b3	ee2467a0780e9f11	5aab710cd56758f0	82	19	~ ((v0 + v1 ^ v1) ^ ~ (v1 & ~ (~ (~ ((-0x1) * v1 & v1 + (-0x1) * ((-0x1) * v1 + (v1 & (~ v1 | ~ (v1 | (v1 | ~ v1)))))) & ~ (~ ((-0x1) * v1 & v1 + (-0x1) * ((-0x1) * v1 + (v1 & (~ v1 | ~ (v1 | (v1 | ~ v1)))))) & ~ (~ ((-0x1) * v1 & v1 + (-0x1) * ((-0x1) * v1 + (v1 & (~ v1 | ~ (v1 | (v1 | ~ v1))))))))))))	v0 + v1 + (-0x2) * (v1 & 0x2 * v1 & (-0x1) * v1 & v0 + v1) + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	4081	1	edge1_ordinary_p7e_loki_tiny_csv_4081	ordinary	p7e	6611679f2ca405b3	6611679f2ca405b3	71455df267879ba5	3afa50254e3e7c3a	19	19	v0 + v1 + (-0x2) * (v1 & 0x2 * v1 & (-0x1) * v1 & v0 + v1) + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1 + (-0x2) * (v1 & 0x2 * v1 & (-0x1) * v1 & v0 + v1) + (v1 & 0x2 * v1 & (-0x1) * v1)
loki_tiny.csv	4081	2	edge2_p9l_loki_tiny_csv_4081	p7e	retained	6611679f2ca405b3	536a9b6c358c7562	e1afb6199e50531c	e6ae6de6741941fd	19	3	v0 + v1 + (-0x2) * (v1 & 0x2 * v1 & (-0x1) * v1 & v0 + v1) + (v1 & 0x2 * v1 & (-0x1) * v1)	v0 + v1
loki_tiny.csv	4087	0	edge0_source_ordinary_loki_tiny_csv_4087	source	ordinary	3a49d1546fb36fc3	4ea8f659da4fef4b	b23a0efbd807b1b5	3acbbd710db77a86	236	22	~ ((~ (v0 | ~ v0) ^ (v0 + ~ (~ (v0 & v1) & ~ v1)) + ~ (v0 + ~ (~ (v0 & v1) & ~ v1))) + (-0x1) * (v0 + (~ (v0 ^ ~ v0) | ~ (~ (v0 & v1) & ~ v1))) | ((~ (v0 | ~ v0) ^ (v0 + ~ (~ (v0 & v1) & ~ v1)) + ~ (v0 + ~ (~ (v0 & v1) & ~ v1))) + (-0x1) * (v0 + (~ (v0 ^ ~ v0) | ~ (~ (v0 & v1) & ~ v1)))) + (-0x1) * ((~ (v0 | ~ v0) ^ (v0 + ~ (~ (v0 & v1) & ~ v1)) + ~ (v0 + ~ (~ (v0 & v1) & ~ v1))) + (-0x1) * (v0 + (~ (v0 ^ ~ v0) | ~ (~ (v0 & v1) & ~ v1))) & ((~ (v0 | ~ v0) ^ (v0 + ~ (~ (v0 & v1) & ~ v1)) + ~ (v0 + ~ (~ (v0 & v1) & ~ v1))) + (-0x1) * (v0 + (~ (v0 ^ ~ v0) | ~ (~ (v0 & v1) & ~ v1)))) + ((~ (v0 | ~ v0) ^ (v0 + ~ (~ (v0 & v1) & ~ v1)) + ~ (v0 + ~ (~ (v0 & v1) & ~ v1))) + (-0x1) * (v0 + (~ (v0 ^ ~ v0) | ~ (~ (v0 & v1) & ~ v1))))))	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1 + (v0 + v1 & (-0x2) + (-0x2) * v0 + (-0x2) * v1))
loki_tiny.csv	4087	1	edge1_ordinary_p7e_loki_tiny_csv_4087	ordinary	p7e	4ea8f659da4fef4b	4ea8f659da4fef4b	4f60730c3b9f5325	137bc2ae3f7711da	22	22	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1 + (v0 + v1 & (-0x2) + (-0x2) * v0 + (-0x2) * v1))	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1 + (v0 + v1 & (-0x2) + (-0x2) * v0 + (-0x2) * v1))
loki_tiny.csv	4087	2	edge2_p9l_loki_tiny_csv_4087	p7e	retained	4ea8f659da4fef4b	536a9b6c358c7562	a7a23932132fd654	3221c6811b449511	22	3	v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + 0x1 + (v0 + v1 & (-0x2) + (-0x2) * v0 + (-0x2) * v1))	v0 + v1
loki_tiny.csv	4220	0	edge0_source_ordinary_loki_tiny_csv_4220	source	ordinary	21eda0d53536a9c0	a97f9ff414cddcae	08ebbfda715b5409	1d00b50b7e0ab688	55	43	(v0 & ((~ (v0 | ~ v0) | (-0x1) * ((-0x1) * (~ (~ (v0 | ~ v0) ^ ~ ((v0 | v1) & ~ ((-0x1) * (v0 | v1) & (-0x1) * ((v0 | v1) + (v0 | v1)))) | ~ (v0 | v1)) + ~ (v0 | v1)) + ~ (v0 | v1))) | v1)) + v1	v0 + v1 + (-0x1) * (v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))
loki_tiny.csv	4220	1	edge1_ordinary_p7e_loki_tiny_csv_4220	ordinary	p7e	a97f9ff414cddcae	a97f9ff414cddcae	20e0480d069699e3	fb9bf6ba46d5cc94	43	43	v0 + v1 + (-0x1) * (v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))	v0 + v1 + (-0x1) * (v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))
loki_tiny.csv	4220	2	edge2_p9l_loki_tiny_csv_4220	p7e	retained	a97f9ff414cddcae	536a9b6c358c7562	b093da2285bf29e5	55efce150ff39a98	43	3	v0 + v1 + (-0x1) * (v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))	v0 + v1
loki_tiny.csv	4310	0	edge0_source_ordinary_loki_tiny_csv_4310	source	ordinary	c0532d64b8664890	e25521ba6d4f93ba	64459ed5da1bcd77	8bc7cd2e6e18cb9c	85	70	~ (~ ((-0x1) * ~ (~ (v0 + ~ v0) ^ ~ ((v0 ^ ~ v0) ^ ((v0 ^ ~ v0) ^ (v0 ^ ~ (v0 ^ ~ v0)))) + (-0x1) * v1) & (v0 ^ (v0 ^ ~ v0)) + ((-0x1) * v1 | ~ (v1 | ~ v1 + (-0x1) * v1))) & (~ (v0 + ~ v0) ^ (v0 ^ (v0 ^ ~ v0)) + (-0x1) * v1) | (v0 ^ (v0 ^ ~ v0)) + ((-0x1) * v1 | ~ (v1 | ~ v1 + (-0x1) * v1)))	0x1 + 0x2 * v0 + (-0x1) * (v1 & (-0x1) * v1) + (-0x1) * (v1 & (-0x1) + (-0x2) * v1) + (-0x1) * ((-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 + (-0x1) + (-0x1) * v0 + (-0x1) * (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1) + (v1 & (-0x1) + (-0x2) * v1) + ((-0x1) * v1 & (-0x1) + (-0x2) * v1) & (-0x1) + (-0x1) * v0 + (-0x1) * v1)
