# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 17023721128
#
# Children      Self  Command        Shared Object     Symbol                                                                                                                                                                                                                                               
# ........  ........  .............  ................  .....................................................................................................................................................................................................................................................
#
    11.86%     1.10%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
     8.29%     3.51%  current-probe  current-probe     [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     7.87%     1.98%  current-probe  current-probe     [.] rumba_core::reduce::Reducer::group_terms
     7.44%     0.12%  current-probe  current-probe     [.] rumba_core::simplify::projector_defect::close
     6.52%     1.96%  current-probe  current-probe     [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     5.80%     5.71%  current-probe  current-probe     [.] rumba_core::simplify::merge_hidden::infer_bitwise_truth_tables
     5.39%     3.62%  current-probe  current-probe     [.] core::ptr::drop_in_place<rumba_core::expr::Expr>
     5.04%     0.19%  current-probe  current-probe     [.] rumba_core::simplify::MBASolver<C>::is_linear_bitwise
     4.00%     4.00%  current-probe  libc.so.6         [.] malloc
     3.87%     0.19%  current-probe  current-probe     [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     3.77%     2.58%  current-probe  libc.so.6         [.] _int_malloc
     3.47%     0.07%  current-probe  current-probe     [.] rumba_core::simplify::merge_hidden::make_signature_samples
     3.32%     1.39%  current-probe  current-probe     [.] core::slice::sort::shared::smallsort::insertion_sort_shift_left
     3.28%     3.28%  current-probe  libc.so.6         [.] cfree@GLIBC_2.2.5
     3.22%     0.30%  current-probe  libc.so.6         [.] __libc_malloc2
     2.95%     0.57%  current-probe  current-probe     [.] rumba_core::simplify::reduce_vars
     2.90%     0.49%  current-probe  current-probe     [.] rumba_core::expr::Expr::map
     2.75%     0.64%  current-probe  current-probe     [.] alloc::vec::in_place_collect::from_iter_in_place
     2.73%     0.07%  current-probe  current-probe     [.] rumba_core::simplify::projector_defect::literal_indexes
     2.43%     0.00%  current-probe  current-probe     [.] std::thread::local::LocalKey<T>::with
     2.35%     2.35%  current-probe  current-probe     [.] <rumba_core::expr::Expr as core::cmp::PartialOrd>::partial_cmp
     2.29%     0.14%  current-probe  current-probe     [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     2.20%     0.41%  current-probe  current-probe     [.] core::ptr::drop_in_place<rumba_core::expr::Expr>


#
# (Tip: To set sample time separation other than 100ms with --sort time use --time-quantum)
#
