# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 14811092017
#
# Overhead  Command      Shared Object  Symbol                                                                                                                                                                                                                                               
# ........  ...........  .............  .....................................................................................................................................................................................................................................................
#
     0.19%  final-probe  final-probe    [.] <rumba_core::expr::Expr as core::clone::Clone>::clone
     0.19%  final-probe  final-probe    [.] core::iter::adapters::try_process
     0.17%  final-probe  final-probe    [.] alloc::vec::Vec<T,A>::dedup_by
     0.16%  final-probe  final-probe    [.] core::iter::adapters::try_process
     0.14%  final-probe  final-probe    [.] alloc::vec::in_place_collect::from_iter_in_place
     0.14%  final-probe  libc.so.6      [.] _int_free_merge_chunk
     0.14%  final-probe  final-probe    [.] rumba_core::expr::Expr::map
     0.14%  final-probe  final-probe    [.] rumba_core::expr::Expr::try_map
     0.14%  final-probe  final-probe    [.] rumba_core::reduce::Reducer::reduce_xor
     0.14%  final-probe  final-probe    [.] <rumba_core::expr::Expr as core::cmp::PartialEq>::eq
     0.11%  final-probe  final-probe    [.] core::slice::sort::shared::smallsort::small_sort_general_with_scratch
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::MBASolver<C>::is_linear_bitwise
     0.11%  final-probe  final-probe    [.] rumba_core::prettify::prettify_masked
     0.11%  final-probe  final-probe    [.] alloc::collections::btree::map::entry::Entry<K,V,A>::or_insert
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::hidden_gauge::orientation_is_complemented
     0.11%  final-probe  final-probe    [.] core::iter::adapters::try_process
     0.11%  final-probe  libc.so.6      [.] __memset_avx2_unaligned_erms
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::simplify_mba_inner
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::projector_defect::term_map
     0.11%  final-probe  final-probe    [.] alloc::vec::in_place_collect::from_iter_in_place
     0.11%  final-probe  final-probe    [.] core::ptr::drop_in_place<rumba_core::expr::Expr>
     0.11%  final-probe  final-probe    [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::MBASolver<C>::poly_to_linear
     0.11%  final-probe  final-probe    [.] rumba_core::expr::Expr::try_map
     0.11%  final-probe  final-probe    [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
     0.11%  final-probe  final-probe    [.] alloc::vec::in_place_collect::from_iter_in_place
     0.11%  final-probe  final-probe    [.] core::hash::BuildHasher::hash_one
     0.11%  final-probe  final-probe    [.] rumba_core::simplify::lambda::find_lambda_int


#
# (Tip: For memory address profiling, try: perf mem record / perf mem report)
#
