dataset,line,input,expected,remaining_expression,first_blocker
"loki_tiny.csv",7246,"(~ ((~ ((v0 | (v0 & ((~ v0) ^ (~ (v0 | (~ v0)))))) & v1)) & (~ ((- (~ ((v0 | (v0 & ((~ v0) ^ (~ (v0 | (~ v0)))))) & v1))) & ((~ ((v0 | (v0 & ((~ v0) ^ (~ (v0 | (~ v0)))))) & v1)) + (~ ((v0 | (v0 & ((~ v0) ^ (~ (v0 | (~ v0)))))) & v1)))))))","v0 & v1","(-0x1) * (0x1 + (v0 & v1) & (-0x2) + (-0x2) * (v0 & v1)) + (0x1 + (v0 & v1) & (-0x2) + (-0x2) * (v0 & v1) & v0 & v1)","NoLowBitCandidate"
"loki_tiny.csv",8173,"(~ ((((((v0 & v1) ^ v1) + (~ (~ ((((v0 & v1) ^ v1) + (~ ((v0 & v1) ^ v1))) & (- v1))))) + (((v0 & v1) ^ v1) + (- v1))) & ((((v0 & v1) ^ v1) ^ (~ ((- v1) | (~ (- v1))))) + (- v1))) | (~ (- (((v0 & v1) ^ v1) + (- v1))))))","v0 & v1","v0 & v1 & (-0x2) * (v0 & v1) & (-0x1) * (v0 & v1)","NoLowBitCandidate"
"loki_tiny.csv",8584,"((- ((~ ((v0 & v1) | ((~ v1) ^ (v1 & (~ ((~ v1) ^ (~ (v1 & (~ v1))))))))) & (~ ((- (~ ((v0 & v1) | ((~ v1) ^ (v1 & (~ ((~ v1) ^ (~ (v1 & (~ v1)))))))))) & ((~ ((v0 & v1) | ((~ v1) ^ (v1 & (~ ((~ v1) ^ (~ (v1 & (~ v1))))))))) + (~ ((v0 & v1) | ((~ v1) ^ (v1 & (~ ((~ v1) ^ (~ (v1 & (~ v1)))))))))))))) + v1)","v0 & v1","(-0x1) * (v1 & 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v1 + (v0 & v1)) + (v1 & 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v1 + (v0 & v1) & v0)","NoLowBitCandidate"
"loki_tiny.csv",8982,"(v0 & (~ (((v0 + v1) & (~ (v0 + v1))) | (~ ((v0 + v1) + ((- (v0 + v1)) + (((v0 + v1) | (((v0 + v1) | (- (v0 | v1))) + (v0 | v1))) + (- (v0 | v1)))))))))","v0 & v1","(-0x1) * (v0 & v0 + v1 + (-0x1) * (v0 + v1 & v0 + v1 + (-0x1) * (v0 + v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))) + (-0x1) * (v0 + v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1)) + (v0 & v1)","NoLowBitCandidate"
"loki_tiny.csv",11431,"(((((v0 | v1) + v1) & (- (((v0 | v1) + v1) & (- ((v0 | v1) + v1))))) + (- v1)) | v1)","v0 | v1","(v0) + (v1) + (-0x1) * (v0 & v1) + (-0x1) * ((-0x1) * (v0 + 0x2 * v1 + (-0x1) * (v0 & v1) & (-0x2) * v1 + (-0x1) * v0 + (v0 & v1)) & v0 + 0x2 * v1 + (-0x1) * (v0 & v1)) + (v1 & (-0x1) * v1 + ((-0x1) * (v0 + 0x2 * v1 + (-0x1) * (v0 & v1) & (-0x2) * v1 + (-0x1) * v0 + (v0 & v1)) & v0 + 0x2 * v1 + (-0x1) * (v0 & v1)))","AnchorProvedNoUse"
"loki_tiny.csv",12529,"((~ ((~ ((~ (v0 + (~ v0))) + (((~ (v0 | v1)) & ((v0 | v1) + (v0 | v1))) | (- (v0 | v1))))) + (- (v0 | v1)))) | (v0 | v1))","v0 | v1","(-0x1) * (v0) + (-0x1) * (v1) + (v0 & v1) + (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (-0x1) * (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (-0x1) * (v0 & (-0x1) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 + (-0x1) * (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (-0x1) * (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))) + (-0x1) * (v1 & (-0x1) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 + (-0x1) * (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (-0x1) * (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))) + (v0 & v1 & (-0x1) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 + (-0x1) * (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (-0x1) * (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1)) + (0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))) + (0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))","AnchorCandidateUnproved"
"loki_tiny.csv",12689,"((((v0 & (- v0)) | ((v0 & (- v0)) & (~ ((~ (v0 | v1)) | ((~ (- (~ (v0 | v1)))) & ((~ (v0 | v1)) + (~ (v0 | v1)))))))) | (~ ((~ (v0 | v1)) | ((~ (- (~ (v0 | v1)))) & ((~ (v0 | v1)) + (~ (v0 | v1))))))) | (~ ((~ (v0 | v1)) | ((~ (- (~ (v0 | v1)))) & ((~ (v0 | v1)) + (~ (v0 | v1)))))))","v0 | v1","(v0 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (v1 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (-0x1) * (v0 & v1 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (-0x1) * (v0 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0) + (-0x1) * (v0 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & v0 + v1 + 0x1 + (-0x1) * (v0 & v1)) + (-0x1) * (v1 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & v0 + v1 + 0x1 + (-0x1) * (v0 & v1)) + (v0 & v1 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & v0 + v1 + 0x1 + (-0x1) * (v0 & v1)) + (v0 & (-0x2) + 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 & v0 + v1 + 0x1 + (-0x1) * (v0 & v1))","AboveLowUnknown"
"loki_tiny.csv",13078,"(v0 | (((- (~ ((~ (v0 & (~ v0))) & v1))) & ((~ ((~ (v0 & (~ v0))) & v1)) + (~ ((~ (v0 & (~ (v0 | (~ ((- v0) + (v0 ^ (~ v0)))))))) & v1)))) | (~ (~ ((~ (v0 & (~ (v0 & ((- v0) | (~ (- v0))))))) & v1)))))","v0 | v1","(-0x1) * (v1 + 0x1 & (-0x2) + (-0x2) * v1) + (v0 & v1 + 0x1 & (-0x2) + (-0x2) * v1) + (v1 & v1 + 0x1 & (-0x2) + (-0x2) * v1) + (-0x1) * (v0 & v1 & v1 + 0x1 & (-0x2) + (-0x2) * v1)","NoLowBitCandidate"
"loki_tiny.csv",13174,"(~ ((~ (v0 | (~ (~ ((~ (((~ v0) ^ (v0 + (- (v0 + (- (~ v0)))))) & (v0 + (- (v0 + (- (~ v0))))))) & (v0 + (- (v0 + ((- (~ v0)) | (v0 & ((~ v0) + (~ v0)))))))))))) | (~ (v0 | v1))))","v0 | v1","(v1) + (-0x1) * (v1 & v0) + (-0x1) * (v1 & (-0x1) + (-0x1) * v0 + (-0x1) * (v0 & (-0x2) + (-0x2) * v0) + (v0 & v0 + 0x1 & (-0x2) + (-0x2) * v0)) + (v1 & v0 & (-0x1) + (-0x1) * v0 + (-0x1) * (v0 & (-0x2) + (-0x2) * v0) + (v0 & v0 + 0x1 & (-0x2) + (-0x2) * v0))","AnchorCandidateUnproved"
"loki_tiny.csv",14221,"((((~ ((((- (((~ v0) & v1) | (~ (~ (v0 | v1))))) & ((v0 | v1) + (v0 | v1))) | (~ (v0 | v1))) + (- v1))) ^ (~ ((~ ((((- (((~ v0) & v1) | (~ (~ (v0 | v1))))) & ((v0 | v1) + (v0 | v1))) | (~ (v0 | v1))) + (- v1))) ^ (((((- (((~ v0) & v1) | (~ (~ (v0 | v1))))) & ((v0 | v1) + (v0 | v1))) | (~ (v0 | v1))) + (- v1)) ^ v1)))) ^ v1) + (- v1))","v0 | v1","(v0 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x1) * (v0 & v1 & 0x2 * v0 + 0x2 * v1 + (-0x2) * (v0 & v1) & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))","AnchorCandidateUnproved"
"loki_tiny.csv",16073,"((((~ ((~ v0) + v1)) & (((~ v0) + v1) + ((~ v0) + v1))) | (- ((~ v0) + v1))) + (v0 | (~ v0)))","v0 - v1","0x2 + 0x2 * (v0) + (-0x2) * (v1) + (v0 + 0x1 + (-0x1) * v1 & (-0x2) + 0x2 * v1 + (-0x2) * v0) + (v1 + (-0x1) + (-0x1) * v0 & (-0x2) + 0x2 * v1 + (-0x2) * v0) + (-0x1) * (v0 + 0x1 + (-0x1) * v1 & v1 + (-0x1) + (-0x1) * v0 & (-0x2) + 0x2 * v1 + (-0x2) * v0)","AboveLowUnknown"
"loki_tiny.csv",17380,"(v0 + (~ (~ ((- ((v0 + ((- (v0 + (- v1))) | ((v0 + (- v1)) & (- ((v0 + (- v1)) | v1))))) & v1)) | ((- ((v0 + ((- (v0 + (- v1))) | ((v0 + (- v1)) & (- ((v0 + (- v1)) | v1))))) & v1)) & (~ (- ((v0 + ((- (v0 + (- v1))) | ((v0 + (- v1)) & (- ((v0 + (- v1)) | v1))))) & v1))))))))","v0 - v1","(-0x1) * (v1) + (v1 & v1 + (-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0 & (-0x1) * v0 + (v1 & v0 + (-0x1) * v1)) + (v0 + (-0x1) * v1 & (-0x1) * v0 + (v1 & v0 + (-0x1) * v1)))","AnchorCandidateUnproved"
"loki_tiny.csv",17524,"(~ (v0 + (- ((- (~ v0)) + (~ (((~ (v0 & (v0 ^ (~ v0)))) + v1) & (- (~ (~ (((~ (v0 & (v0 ^ (~ v0)))) + v1) & (- ((~ (v0 & (v0 ^ (~ v0)))) + v1))))))))))))","v0 - v1","0x1 + (v0) + (-0x1) * (v1) + ((-0x1) * (v0 + 0x1 + (-0x1) * v1 & v1 + (-0x1) + (-0x1) * v0) & v1 + (-0x1) + (-0x1) * v0)","AnchorProvedNoUse"
"loki_tiny.csv",17578,"(- ((- (v0 + v0)) + (((- (v0 + v0)) + (((v0 + v0) & (- (~ (~ ((v0 + v0) & (- (v0 + v0))))))) + (v0 + v1))) & (v0 + v1))))","v0 - v1","(-0x1) * (v0) + (-0x1) * (v1) + (v0 + v1 & v1 + (-0x1) * v0 + (0x2 * v0 & (-0x1) * (0x2 * v0 & (-0x2) * v0)))","AnchorProvedNoUse"
"loki_tiny.csv",17633,"((- (((- (~ ((~ v0) & (~ (v0 & v1))))) + (~ (((~ v0) & (~ (v0 & v1))) | (~ ((~ v0) & (~ (v0 & v1))))))) + v1)) & (~ ((((- (~ ((~ v0) & (~ (v0 & v1))))) + (~ (((~ v0) & (~ (v0 & v1))) | (~ ((~ v0) & (~ (v0 & v1))))))) + v1) & (- ((((- (~ ((~ v0) & (~ (v0 & v1))))) + (~ (((~ v0) & (~ (v0 & v1))) | (~ ((~ v0) & (~ (v0 & v1))))))) + v1) + (((- (~ ((~ v0) & (~ (v0 & v1))))) + (~ (((~ v0) & (~ (v0 & v1))) | (~ ((~ v0) & (~ (v0 & v1))))))) + v1))))))","v0 - v1","v0 + (-0x1) * v1 & v1 + (-0x1) * v0 & 0x2 * v0 + (-0x2) * v1","AboveLowUnknown"
"loki_tiny.csv",17980,"(((- ((- v0) + v1)) & (~ (((- v0) + v1) & (((- v0) + v1) + ((- v0) + v1))))) + (- (~ (v0 | (~ v0)))))","v0 - v1","v0 + (-0x1) * v1 & v1 + (-0x1) * v0 & 0x2 * v1 + (-0x2) * v0","AboveLowUnknown"
"loki_tiny.csv",18437,"(((((~ v0) ^ (~ v1)) ^ v1) | (~ (((v0 ^ (~ (~ (v1 | (~ v1))))) ^ (~ v1)) ^ v1))) + ((((~ v0) ^ (~ v1)) ^ v1) + ((- (~ (- v1))) & ((- (~ (- v1))) + (~ ((~ (- v1)) | (- (~ (- v1)))))))))","v0 - v1","0x1 + (-0x1) * (v1) + (-0x1) * (0x1 + (-0x2) * v1 + (-0x1) * ((-0x1) * v1 & 0x1 + (-0x1) * v1) & 0x1 + (-0x1) * v1)","NoLowBitCandidate"
"loki_tiny.csv",18523,"((- ((- v0) + ((~ (v0 | (~ v0))) ^ v1))) & (- (~ (~ (((- v0) + ((~ ((~ ((~ (v0 | (~ v0))) ^ v1)) ^ v1)) ^ v1)) & (- ((- v0) + ((~ (v0 | (v0 ^ (~ ((- v0) & (~ (v0 | (- v0)))))))) ^ v1))))))))","v0 - v1","(v0) + (-0x1) * (v1) + (-0x1) * ((-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0) & v0 + (-0x1) * v1)","AnchorProvedNoUse"
"loki_tiny.csv",18631,"((~ (((~ ((((- v0) | ((- v0) & (v1 + v1))) + v1) & (- (v0 + (- (~ ((~ ((~ (v0 | v1)) & v1)) ^ v1))))))) + (- (((- v0) + v1) & (- (v0 + (- (~ ((~ ((~ (v0 | v1)) & v1)) ^ v1)))))))) | (((- v0) + v1) & (- (v0 + (- (~ ((~ ((~ (v0 | v1)) & v1)) ^ v1)))))))) | (- (((- v0) + v1) & (- (v0 + (- (~ ((~ ((~ (v0 | v1)) & v1)) ^ v1))))))))","v0 - v1","0x2 * (v0) + (-0x2) * (v1) + (-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0) + (-0x1) * (v0 + (-0x1) * v1 & (-0x1) + 0x2 * v0 + (-0x2) * v1) + (-0x1) * (v1 + (-0x1) * v0 & (-0x1) + 0x2 * v0 + (-0x2) * v1) + (v0 + (-0x1) * v1 & v1 + (-0x1) * v0 & (-0x1) + 0x2 * v0 + (-0x2) * v1)","AboveLowUnknown"
"loki_tiny.csv",19329,"(~ ((v0 ^ (~ v0)) & (~ ((v0 + (- v1)) & ((v0 + (- v1)) + (~ (((v0 + (- v1)) & ((v0 + (- v1)) + ((v0 + (- v1)) | (- (v0 + (~ ((~ (- v1)) & (~ (v1 & (~ v1)))))))))) | (- (v0 + (- (v1 | (~ (~ (v1 & (~ (- v1))))))))))))))))","v0 - v1","(v0) + (-0x1) * (v1) + (-0x1) * (v0 + (-0x1) * v1 & (-0x1) + 0x2 * v0 + (-0x2) * v1 + (-0x1) * (v0 + (-0x1) * v1 & v0 + (-0x1) * v1 + (-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0)) + (v0 + (-0x1) * v1 & v0 + (-0x1) * v1 + (-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0) & v1 + (-0x1) * v0))","AnchorCandidateUnproved"
